Source Location (kilometers) : (0, 0, 0).
Receiver Location (kilometers) : (350, 0, 0).
theta = 18.0303, phi = 90,  c0(zground) = 0.340322 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
0.0305135	-1.68961e-19	0.00993739	7.88429	-1.64887e-09	0.0943003	0.00122391	0.340288	-9.97113e-09	1.22111e-24	0	2.7941	-1.54717e-17	0.910429	-0.000979156
0.0805126	-4.45819e-19	0.0262429	-0.550238	-4.34548e-09	0.24886	0.00122211	0.340233	-2.6326e-08	3.224e-24	0	2.7941	-1.54717e-17	0.911965	-0.00681705
0.161615	-8.94902e-19	0.0527499	-6.6141	-8.70632e-09	0.499674	0.00121919	0.340144	-5.28745e-08	6.47525e-24	0	2.7941	-1.54717e-17	0.914457	-0.0274682
0.291081	-1.61179e-18	0.095214	-11.7433	-1.56359e-08	0.900332	0.00121452	0.34	-9.52087e-08	1.16597e-23	0	2.7941	-1.54717e-17	0.918438	-0.0891036
0.492765	-2.72855e-18	0.161733	-16.3449	-2.63612e-08	1.52516	0.0012072	0.339776	-1.6031e-07	1.96323e-23	0	2.7941	-1.54717e-17	0.92464	-0.255355
0.795975	-4.40749e-18	0.262579	-20.5543	-4.23552e-08	2.46607	0.00119614	0.339436	-2.50501e-07	3.06775e-23	0	2.7941	-1.54717e-17	0.933964	-0.666278
1.23033	-6.81257e-18	0.408807	-24.4014	-6.50817e-08	3.81726	0.00118015	0.338945	-3.54817e-07	4.34526e-23	0	2.7941	-1.54717e-17	0.947349	-1.59181
1.81643	-1.00579e-17	0.609423	-27.8748	-9.56293e-08	5.64675	0.00115831	0.338274	-4.52574e-07	5.54243e-23	0	2.7941	-1.54717e-17	0.965429	-3.46942
2.55666	-1.41566e-17	0.868222	-30.9606	-1.34512e-07	7.96785	0.00113034	0.337412	-5.35997e-07	6.56407e-23	0	2.7941	-1.54717e-17	0.988322	-6.87256
3.43308	-1.90094e-17	1.18249	-33.6648	-1.81915e-07	10.7316	0.00109669	0.336371	-6.17574e-07	7.56309e-23	0	2.7941	-1.54717e-17	1.0155	-12.3899
4.41471	-2.44446e-17	1.54461	-36.0176	-2.38312e-07	13.8476	0.00105841	0.335181	-7.12651e-07	8.72745e-23	0	2.7941	-1.54717e-17	1.046	-20.4825
5.46833	-3.02785e-17	1.94523	-38.0664	-3.05145e-07	17.2172	0.00101675	0.333875	-8.30618e-07	1.01721e-22	0	2.7941	-1.54717e-17	1.07883	-31.4142
6.56622	-3.63575e-17	2.37587	-39.8634	-3.85386e-07	20.7568	0.000972829	0.332485	-9.77442e-07	1.19702e-22	0	2.7941	-1.54717e-17	1.11312	-45.2726
7.68856	-4.25717e-17	2.83004	-41.4572	-4.84141e-07	24.4063	0.000927565	0.331036	-1.15886e-06	1.41919e-22	0	2.7941	-1.54717e-17	1.14822	-62.0334
8.8226	-4.88506e-17	3.30328	-42.8892	-6.09611e-07	28.1267	0.000881632	0.329544	-1.38181e-06	1.69222e-22	0	2.7941	-1.54717e-17	1.18374	-81.622
9.96066	-5.51517e-17	3.79268	-44.1925	-7.74826e-07	31.8947	0.000835529	0.328022	-1.65503e-06	2.02683e-22	0	2.7941	-1.54717e-17	1.21938	-103.946
11.0984	-6.14506e-17	4.29644	-45.3934	-1.0008e-06	35.6968	0.000789626	0.326478	-1.98954e-06	2.43649e-22	0	2.7941	-1.54717e-17	1.25501	-128.916
12.2332	-6.77337e-17	4.8134	-46.512	-1.32231e-06	39.5257	0.000744215	0.324919	-2.39909e-06	2.93804e-22	0	2.7941	-1.54717e-17	1.29048	-156.445
13.364	-7.39938e-17	5.34279	-47.564	-1.79837e-06	43.3777	0.000699535	0.323349	-2.90074e-06	3.55238e-22	0	2.7941	-1.54717e-17	1.32573	-186.457
14.4899	-8.02269e-17	5.88407	-48.5618	-2.53062e-06	47.2508	0.000655791	0.321773	-3.51563e-06	4.3054e-22	0	2.7941	-1.54717e-17	1.36069	-218.874
15.6107	-8.64311e-17	6.43682	-49.515	-3.69325e-06	51.144	0.000613161	0.320197	-4.2698e-06	5.229e-22	0	2.7941	-1.54717e-17	1.3953	-253.623
16.7261	-9.26052e-17	7.00067	-50.4312	-5.57323e-06	55.057	0.0005718	0.318623	-5.19536e-06	6.36248e-22	0	2.7941	-1.54717e-17	1.42951	-290.631
17.8361	-9.8749e-17	7.5753	-51.3166	-8.60105e-06	58.9897	0.000531843	0.317057	-6.33174e-06	7.75415e-22	0	2.7941	-1.54717e-17	1.46326	-329.824
18.9407	-1.04862e-16	8.16036	-52.176	-1.33226e-05	62.9418	0.000493409	0.315503	-7.72732e-06	9.46324e-22	0	2.7941	-1.54717e-17	1.49648	-371.124
20.0399	-1.10945e-16	8.75552	-53.0136	-2.02687e-05	66.9135	0.000456592	0.313965	-9.44133e-06	1.15623e-21	0	2.7941	-1.54717e-17	1.52913	-414.457
21.1337	-1.16997e-16	9.36046	-53.8326	-2.97783e-05	70.9046	0.00042147	0.312447	-1.15461e-05	1.41399e-21	0	2.7941	-1.54717e-17	1.56113	-459.745
22.2223	-1.23019e-16	9.97483	-54.6356	-4.19196e-05	74.9151	0.0003881	0.310956	-1.41299e-05	1.73041e-21	0	2.7941	-1.54717e-17	1.59241	-506.903
23.3057	-1.2901e-16	10.5983	-55.425	-5.65604e-05	78.9446	0.00035652	0.309494	-1.72998e-05	2.11862e-21	0	2.7941	-1.54717e-17	1.62293	-555.855
24.3841	-1.34973e-16	11.2304	-56.2025	-7.34928e-05	82.993	0.000326749	0.308067	-2.1186e-05	2.59454e-21	0	2.7941	-1.54717e-17	1.65259	-606.516
25.4575	-1.40905e-16	11.8709	-56.9695	-9.25221e-05	87.0601	0.000298791	0.30668	-2.59454e-05	3.1774e-21	0	2.7941	-1.54717e-17	1.68133	-658.8
26.5262	-1.46809e-16	12.5194	-57.7274	-0.000113503	91.1453	0.000272631	0.305338	-3.17674e-05	3.89038e-21	0	2.7941	-1.54717e-17	1.70908	-712.626
27.5902	-1.52684e-16	13.1754	-58.4772	-0.000136341	95.2483	0.000248243	0.304044	-3.8879e-05	4.7613e-21	0	2.7941	-1.54717e-17	1.73576	-767.909
28.6497	-1.5853e-16	13.8386	-59.2195	-0.000160986	99.3685	0.000225585	0.302803	-4.75519e-05	5.82344e-21	0	2.7941	-1.54717e-17	1.76132	-824.567
29.705	-1.64348e-16	14.5086	-59.9552	-0.000187417	103.505	0.000204605	0.30162	-5.81098e-05	7.11639e-21	0	2.7941	-1.54717e-17	1.78567	-882.513
30.7562	-1.70137e-16	15.185	-60.6845	-0.000215632	107.658	0.000185243	0.3005	-7.09359e-05	8.68714e-21	0	2.7941	-1.54717e-17	1.80875	-941.664
31.8036	-1.75899e-16	15.8673	-61.408	-0.000245632	111.826	0.000167428	0.299446	-8.64833e-05	1.05912e-20	0	2.7941	-1.54717e-17	1.83048	-1001.94
32.8473	-1.81631e-16	16.5551	-62.1258	-0.000277422	116.009	0.000151087	0.298461	-0.000105283	1.28935e-20	0	2.7941	-1.54717e-17	1.85084	-1063.26
33.8876	-1.87335e-16	17.2481	-62.8382	-0.000310995	120.205	0.000136139	0.29755	-0.000127959	1.56704e-20	0	2.7941	-1.54717e-17	1.86974	-1125.54
34.9247	-1.93008e-16	17.9459	-63.5453	-0.000346328	124.413	0.000122504	0.296715	-0.000155232	1.90104e-20	0	2.7941	-1.54717e-17	1.88715	-1188.73
35.959	-1.98651e-16	18.6479	-64.2471	-0.000383375	128.634	0.000110097	0.295961	-0.000187937	2.30157e-20	0	2.7941	-1.54717e-17	1.90302	-1252.74
36.9906	-2.0426e-16	19.3538	-64.9436	-0.000422052	132.864	9.88352e-05	0.295287	-0.000227038	2.7804e-20	0	2.7941	-1.54717e-17	1.91733	-1317.51
38.0198	-2.09836e-16	20.0631	-65.6348	-0.000462218	137.105	8.86358e-05	0.294699	-0.000273628	3.35098e-20	0	2.7941	-1.54717e-17	1.93004	-1382.98
39.0469	-2.15374e-16	20.7756	-66.3206	-0.000503652	141.354	7.94181e-05	0.294196	-0.000328958	4.02856e-20	0	2.7941	-1.54717e-17	1.94117	-1449.11
40.0721	-2.20871e-16	21.4907	-67.001	-0.000546032	145.61	7.1104e-05	0.29378	-0.000394432	4.83039e-20	0	2.7941	-1.54717e-17	1.95069	-1515.84
41.0958	-2.26324e-16	22.2081	-67.6757	-0.000588934	149.873	6.36182e-05	0.293452	-0.000471627	5.77577e-20	0	2.7941	-1.54717e-17	1.95861	-1583.14
42.118	-2.31727e-16	22.9275	-68.3448	-0.000631861	154.14	5.68895e-05	0.293212	-0.000562301	6.8862e-20	0	2.7941	-1.54717e-17	1.96497	-1650.97
43.1392	-2.37075e-16	23.6484	-69.008	-0.00067432	158.412	5.08502e-05	0.293061	-0.000668395	8.18548e-20	0	2.7941	-1.54717e-17	1.96979	-1719.32
44.1595	-2.4236e-16	24.3706	-69.6653	-0.000715915	162.686	4.54371e-05	0.292997	-0.000792039	9.69967e-20	0	2.7941	-1.54717e-17	1.97312	-1788.18
45.1791	-2.47575e-16	25.0936	-70.3166	-0.000756449	166.963	4.05908e-05	0.293021	-0.000935559	1.14573e-19	0	2.7941	-1.54717e-17	1.97501	-1857.55
46.1984	-2.52711e-16	25.8173	-70.9618	-0.000795981	171.24	3.62567e-05	0.29313	-0.00110147	1.34891e-19	0	2.7941	-1.54717e-17	1.97555	-1927.44
47.2174	-2.57756e-16	26.5412	-71.6008	-0.000834849	175.517	3.2384e-05	0.293323	-0.00129246	1.58281e-19	0	2.7941	-1.54717e-17	1.97481	-1997.9
48.2363	-2.62698e-16	27.2653	-72.2336	-0.000873652	179.794	2.89262e-05	0.293597	-0.00151143	1.85096e-19	0	2.7941	-1.54717e-17	1.97287	-2068.95
49.2553	-2.67524e-16	27.9892	-72.8602	-0.000913227	184.068	2.58408e-05	0.293951	-0.00176138	2.15707e-19	0	2.7941	-1.54717e-17	1.96984	-2140.65
50.2746	-2.72219e-16	28.7128	-73.4805	-0.000954652	188.34	2.30891e-05	0.294382	-0.00204553	2.50505e-19	0	2.7941	-1.54717e-17	1.96584	-2213.08
51.2942	-2.76765e-16	29.4359	-74.0946	-0.000999278	192.609	2.06356e-05	0.294887	-0.00236718	2.89895e-19	0	2.7941	-1.54717e-17	1.96097	-2286.32
